Scheme Name,Description,Eligibility
AP Jagananna Vidya Deevena Scheme 2020,The Andhra Pradesh government launched the Jagananna Vidya Deevena Scheme to provide 100% fee reimbursement for economically weaker students pursuing higher education. The scheme ensures that students can continue their education without financial burden.,"Residency: Must be a resident of Andhra Pradesh.
Income Criteria: Annual family income must be less than ₹2.5 lakh.
Land Ownership: Families with up to 10 acres of wetland or 25 acres of dry land are eligible.
Category: Students from SC, ST, OBC, minority, Kapu, EBC, and differently-abled groups are eligible.
Exemptions: No income limit for children of sanitation workers and those dependent on taxi, auto, or tractor driving.
Restrictions: Income taxpayers are not eligible.
Courses Covered: Applicable for students pursuing B.Tech, B.Pharmacy, M.Tech, M.Pharmacy, MBA, MCA, B.Ed, and similar professional courses."
AP YSR Navasakam Scheme,"The Andhra Pradesh government launched the YSR Navasakam Scheme in 2019 to identify and enroll beneficiaries for various welfare schemes through a door-to-door survey conducted by village/ward volunteers. Under this scheme, separate cards are issued to eligible beneficiaries for each welfare program, ensuring targeted delivery of benefits.","Residency: Must be a resident of Andhra Pradesh
Enrollment: Must participate in the door-to-door survey conducted by volunteers
Scheme-Specific Criteria: Eligibility varies based on the specific welfare scheme applied for (e.g., pension, education, healthcare, financial aid)"
AP Jagananna Vasati Deevena Scheme,"The Andhra Pradesh government launched the Jagananna Vasati Deevena Scheme to provide financial assistance to students for hostel and mess charges, ensuring they have proper accommodation and meals while pursuing their education.","Residency: Must be a resident of Andhra Pradesh.
Financial Assistance:
ITI students receive ₹10,000 per year.
Polytechnic students receive ₹15,000 per year.
Degree students receive ₹20,000 per year.
Payment Mode: Amount is disbursed in two installments (December and July) directly to the student’s mother’s bank account."
AP YSR Kapu Nestam Scheme,"The YSR Kapu Nestam Scheme provides financial assistance to women from Kapu, Balija, Telaga, and Ontari communities to improve their living conditions and economic stability.","Residency: Must be a resident of Andhra Pradesh.
Age Limit: Women aged 45 to 60 years.
Financial Assistance: ₹15,000 per year, totaling ₹75,000 over five years."
AP Vahana Mitra Scheme Phase 2,"The AP Vahana Mitra Scheme provides financial aid to auto, taxi, and maxi cab owner-cum-drivers to help with vehicle maintenance costs and improve their livelihood.","Residency: Must be a resident of Andhra Pradesh.
Beneficiaries: Auto, taxi, and maxi cab owner-cum-drivers.
Financial Assistance: ₹10,000 per annum for maintenance expenses."
AP YSR Law Nestham Scheme,"The Andhra Pradesh government launched the YSR Law Nestham Scheme on December 3, 2019, to provide financial assistance to junior advocates and lawyers. Under this scheme, eligible beneficiaries receive a monthly stipend of ₹5,000 to support them in the initial years of their legal practice.","Residency: Must be a resident of Andhra Pradesh.
Age Limit: Must be under 35 years at the time of registration.
Education: Must have a law degree and be registered under Section 17 of the Advocacy Act, 1961, with the State Bar Council.
Practice Requirement:
Must be a junior advocate in the first three years of practice.
Must submit an affidavit every six months confirming active practice.
Family Limit: Only one member per family is eligible.
Exclusions:
Owning a four-wheeler disqualifies the applicant.
Non-practicing lawyers and those who secure other employment are ineligible."
AP YSR Arogya Asara Scheme,"The Andhra Pradesh government launched the YSR Arogya Asara Scheme on November 2, 2019, to provide financial relief to poor patients post-hospitalization. Under this scheme, beneficiaries receive ₹225 per day or up to ₹5,000 per month during the prescribed recovery period after surgical operations. This initiative is part of the broader YSR Arogyasri health scheme.","Residency: Must be a resident of Andhra Pradesh.
Beneficiaries: Patients who have undergone one of the 836 types of surgeries covered under the scheme.
Financial Assistance: Provided only for the prescribed recovery period post-discharge.
Bank Account: Patients must provide bank account and Aadhaar details at the time of discharge. If unavailable, funds will be transferred to a relative’s account."
AP Jagananna Vasathi Deevena Scheme,"The Andhra Pradesh government launched the Jagananna Vasathi Deevena Scheme on February 24, 2020, to provide financial assistance to students for hostel and mess charges. The scheme benefits ITI, Polytechnic, and Degree students by transferring funds directly into their mothers’ bank accounts.","Residency: Must be a resident of Andhra Pradesh.
Education Level:
ITI students receive ₹10,000 per year (₹5,000 in February & ₹5,000 in July).
Polytechnic students receive ₹15,000 per year in two installments.
Degree students receive ₹20,000 per year (₹10,000 in February & ₹10,000 in July).
Beneficiaries: More than 58,091 students from 153 colleges in the district.
Payment Mode: Amount transferred directly to the student's mother’s bank account."
AP Jagananna Vidya Deevena Scheme,"The Jagananna Vidya Deevena Scheme provides 100% fee reimbursement to students belonging to Scheduled Castes, Scheduled Tribes, Backward Classes, Minorities, Kapus, Economically Weaker Sections, and Differently-Abled categories. The scheme aims to support students pursuing higher education in professional courses.","Residency: Must be a resident of Andhra Pradesh.
Income Limit: Annual family income must be below ₹2.5 lakh.
Landholding: Families owning up to 10 acres of wetland and 25 acres of dry land are eligible.
Exemptions: No income limit for families of sanitation workers, auto/taxi/tractor drivers.
Non-Eligibility: Income taxpayers are not eligible.
Courses Covered: B.Tech, B.Pharmacy, M.Tech, M.Pharmacy, MBA, MCA, B.Ed, and equivalent programs."
AP YSR Kapu Nestam Scheme,"The AP YSR Kapu Nestam Scheme provides financial assistance to women from the Kapu, Balija, Telaga, and Ontari communities. Women aged 45-60 years receive ₹15,000 per year, totaling ₹75,000 over five years, to help improve their living conditions.","Residency: Must be a resident of Andhra Pradesh.
Gender & Age: Women aged 45 to 60 years.
Community: Must belong to Kapu, Balija, Telaga, or Ontari communities.
Financial Assistance: ₹15,000 per annum for five years."
